MS:  	 1823: 
 next 	 following 
  	[NO 1823 VARIANT]
relations; and 	 relations, and 
W.[ADDstart] ^[ADDend][ADDstart] aldham[ADDend]  	 Waldman, 
 fellow professor 	 fellow-professor, 
 which 	 that 
missed. I 	 missed.     I 
 home 	 home, 
 dissapointed 	 disappointed, 
 the 	 those 
 which 	 whom 
 reprobated – 	 reprobated; 
 very 	[NO 1823 VARIANT]
 enclined 	 inclined 
[DELstart] bu[DELend]  	[NO 1823 VARIANT]
 those 	 the 
[DELstart] recon[DELend] procured. 	 recommendation. 
 man 	 man, 
 countenance and 	 countenance; 
 teacher 	 teacher, therefore, 
  	[NO 1823 VARIANT]
[DELstart] science[DELend][DELstart] But when the ne[DELend][ADDstart] doctrine.[ADDend] sides 	 doctrine. Besides, 
[DELstart] chemistry[DELend] natural 	 natural 
[DELstart] when[DELend]  different 	 different, 
the[DELstart] n[DELend]  	 the 
[DELstart] wealth[DELend][ADDstart] power[ADDend] ;– 	 power; 
 views 	 views, 
 futile 	 futile, 
 grand; 	 grand: 
[DELstart] all[DELend][DELstart] t and the expulsion[DELend] greatness in 	 changed. The ambition of 
science[DELstart] those[DELend][DELstart] utmost[DELend][ADDstart] those[ADDend] enquirer 	 inquirer 
 grandeur, 	 grandeur 
worth. Such 	 worth.     Such 
[DELstart] tw[DELend]  	 the first 
[ADDstart] ^[ADDend][ADDstart] spent[ADDend]  	 spent 
[DELstart] solitary[DELend][DELstart] at[DELend][ADDstart] in[ADDend]  	 in solitude. But 
 ensueing 	 ensuing 
 commenced 	 commenced, 
M[ADDstart] rempe[ADDend]  	 which M. Krempe 
 lectures, and 	 lectures. And 
[ADDstart] ^[ADDend] out 	 out 
pulpit  	 pulpit, 
M . Waldham, 	 M. Waldman, 
seen [DELstart] and[DELend]  	 seen, 
 hitherto 	[NO 1823 VARIANT]
town.[DELstart] Half out of[DELend] Partly 	 town.     Partly 
 curiosity 	 curiosity, 
 idleness 	 idleness, 
 room 	 room, 
M . Waldham 	 M. Waldman 
 Professor 	 professor 
 a 	[NO 1823 VARIANT]
dif[DELstart] the other[DELend] his 	 unlike his 
 was 	 appeared 
 benevolence 	 benevolence; 
grey [DELstart] hars[DELend]  	 gray 
temples  	 temples, 
 He 	 His person 
short in  person 	 short, 
erect [DELstart] ha[DELend]  	 erect; 
with a [DELstart] kind[DELend] by 	 by 
  	[NO 1823 VARIANT]
[DELstart] & discoveries[DELend][ADDstart] ^[ADDend][ADDstart] & discoveries[ADDend] made 	 made 
various  	 different 
[DELstart] had made[DELend][ADDstart] of learning[ADDend]  pronoucing 	 of learning, pronouncing with fervour 
greatest discoverers [DELstart] with great warmth[DELend] . 	 most distinguished discoverers. 
[DELstart] chemistry[DELend] the 	 the 
[DELstart] termes[DELend]  	 elementary 
[DELstart] made[DELend][ADDstart] After making[ADDend]  	 After having made 
experiments [DELstart] and[DELend][ADDstart] he[ADDend] ded 	 experiments, he concluded 
[ADDstart] ^[ADDend][ADDstart] modern[ADDend] ry 	 modern chemistry, 
 words 	 terms 
 "The 	 forget:—     “The 
 science" 	 science,” 
"promised impossibilities  "and 	 “promised impossibilities, and 
 "masters 	 masters 
little. They [DELstart] no[DELend]  	 little; they 
 "transmuted 	 transmuted, 
[DELstart] vitæ[DELend] of 	 of 
[DELstart] mere[DELend]  chimæra. 	 chimera. 
 "these philosophers 	 these philosophers, 
[DELstart] eyes[DELend]  	[NO 1823 VARIANT]
 "appear 	 seem 
 "dirt 	 dirt, 
 "the 	 the 
cruscible,  "have 	 crucible, have 
 "They 	 They 
 "nature 	 nature, 
 "in 	 in 
[ADDstart] ;[ADDend] – 	 the heavens: 
 discoverd 	 discovered 
 "the 	 the 
 "of 	 of 
[DELstart] New[DELend]  	[NO 1823 VARIANT]
 "acquired 	 acquired 
powers[ADDstart] ;[ADDend][ADDstart] y[ADDend]  	 powers; they 
 "thunders 	 thunders 
 mimick 	 mimic 
 "earthquake, 	 earthquake, 
 "invisible 	 invisible 
 I 	 shadows.”     I 
lecture & paid 	 lecture, and paid 
[ADDstart] ^[ADDend] & 	 and 
 public. For 	 public; for 
 manner 	 mien 
 lectures 	 lecture, 
[DELstart] affabity[DELend] affability 	 affability 
kindness in his own  house. 	 kindness. 
 studies with attention 	 studies, and 
Paracelsus[ADDstart] X[ADDend]  	 Paracelsus, 
 Mr 	 M. 
[DELstart] Ex[DELend][DELstart] exhibited[DELend][ADDstart] expressed to them[ADDend][ADDstart] ^[ADDend] He said 	 exhibited. He said, 
 these 	 “these 
[DELstart] chem[DELend][ADDstart] natural[ADDend] philosophers 	 modern philosophers 
knowledge[ADDstart] ^[ADDend][ADDstart] had[ADDend] left 	 knowledge. They had left 
 task 	 task, 
 & 	 and 
conected classi fications 	 connected classifications, 
 to 	 in 
 genius 	 genius, 
 directed 	 directed, 
failed. in 	 fail in 
 I 	 mankind.” I 
state ment 	 statement, 
[DELstart] I ended by saying[DELend]  	 or affectation; and then added, 
 prejudice 	 prejudices 
 chemists 	 chemists; 
I request ed 	 I, 
 time 	 time, requested 
procure  	 procure. 
 "I 	 “I 
 happy" 	 happy,” 
M "have 	 M. Waldman, “to have 
[DELstart] desci[DELend]  desciple 	 disciple; 
 if 	[NO 1823 VARIANT]
[DELstart] appil[DELend]  	[NO 1823 VARIANT]
ability  "I 	 ability, I 
 "philosophy 	 philosophy 
[ADDstart] ^[ADDend][ADDstart] been[ADDend] & 	 been and 
made.  "It 	 made: it 
account[DELstart] s[DELend]  	 account 
I "chose 	 I have made 
 for 	[NO 1823 VARIANT]
study. But  "at 	 study; but at 
[ADDstart] ^[ADDend][ADDstart] time[ADDend]  	 time 
 did 	 have 
 neglect 	 neglected 
 "other sciences. 	 other branches of science. 
 "a 	 but a 
 atteneded 	 attended 
  	[NO 1823 VARIANT]
 "your 	 your 
 really 	[NO 1823 VARIANT]
 "man 	 man 
 science 	 science, 
 "a pretty experimentalist 	 a petty experimentalist, 
[ADDstart] s[ADDend] e 	 advise 
 "branch 	 branch 
philosophy [DELstart] and[DELend][ADDstart] including[ADDend] He 	 philosophy, including mathematics.”     He 
[DELstart] workroom[DELend][ADDstart] laboratory[ADDend] shewed 	 laboratory, 
explain  ed 	 explained 
 use 	 uses 
machines instructing 	 machines; instructing 
[DELstart] should[DELend][DELstart] procure[DELend] ought 	 ought 
procure[DELstart] for my priva[DELend]  	 procure, 
[DELstart] a lone[DELend]  	[NO 1823 VARIANT]
far[DELstart] e[DELend]  	 far 
 study 	 science 
[DELstart] der[DELend]  	[NO 1823 VARIANT]
[ADDstart] ir[ADDend][ADDstart] ^[ADDend][ADDstart] mechanism.[ADDend]  	 their mechanism. 
 requested 	 requested; 
leave. Thus 	 leave.     Thus 
[DELstart] in a my life[DELend][ADDstart] to me[ADDend]  for 	 to me: 
 From 	 From 
 philosophy 	 philosophy, 
 chemistry 	 chemistry, in the most comprehensive sense of the term, 
[ADDstart] ^[ADDend][ADDstart] nearly[ADDend]  	 nearly 
[DELstart] appli[DELend] study. 	 occupation. 
[DELstart] m[DELend]  	[NO 1823 VARIANT]
 books 	 works, 
discrimination [DELstart] at have been written[DELend]  	 discrimination, which modern inquirers have written 
 acquaintance 	 acquaintance, 
M  	 M. 
 & 	 and 
information  combined 	 information, combined, 
 true 	 true, 
 phisiognomy & 	 physiognomy and 
[DELstart] dg[DELend] dogmatism 	 dogmatism; 
 nature 	 nature, 
[DELstart] pedantl[DELend]  	[NO 1823 VARIANT]
 was perhaps 	 was, perhaps, 
 enclined 	 inclined 
 the study of 	[NO 1823 VARIANT]
[DELstart] science[DELend][ADDstart] ^[ADDend] natural 	 natural 
professed  	 professed, 
[DELstart] circumstance[DELend][DELstart] was had[DELend] state 	 state 
[DELstart] was[DELend]  	[NO 1823 VARIANT]
the  knowledge; 	 knowledge: 
[DELstart] more fully[DELend]  	[NO 1823 VARIANT]
[DELstart] the[DELend][DELstart] philosophy[DELend][ADDstart] science [ADDend]  	 the science, 
[DELstart] studied[DELend]  	[NO 1823 VARIANT]
 application 	 application, 
[DELstart] ch[DELend]  	[NO 1823 VARIANT]
[ADDstart] ^[ADDend] & 	 and 
 eager 	 eager, 
[ADDstart] ^[ADDend] in 	 disappeared in 
 while 	 whilst 
[DELstart] labouring[DELend][ADDstart] engaged[ADDend] in 	 engaged in 
labrotary.  	 laboratory. 
[DELstart] It[DELend]  	[NO 1823 VARIANT]
 students, 	 students; 
 proficiency 	 proficiency, 
master. [DELstart] and[DELend]  	 masters. 
 me 	 me, 
 smile 	 smile, 
on[ADDstart] ;[ADDend][ADDstart] ^[ADDend] while 	 on? whilst 
 Waldham 	 Waldman 
 manner 	 manner, 
[DELstart] ws[DELend]  	[NO 1823 VARIANT]
 engaged 	 engaged, 
 soul 	 soul, 
 discoveries 	 discoveries, 
[DELstart] No one[DELend]  	[NO 1823 VARIANT]
 it 	 them 
science–[DELstart] especially[DELend]  	 science. 
 you 	 you, 
[DELstart] learn[DELend][ADDstart] know,[ADDend]  learn, 	 know; 
[DELstart] their[DELend]  	[NO 1823 VARIANT]
[DELstart] even[DELend]  	[NO 1823 VARIANT]
 capacity who 	 capacity, which 
 study 	 study, 
 study—And I 	 study; and I, 
[DELstart] was[DELend]  	[NO 1823 VARIANT]
[DELstart] applied to[DELend] sought 	 sought 
[DELstart] thing[DELend][ADDstart] object [ADDend][ADDstart] pursuit[ADDend]  	 object of pursuit, 
[DELstart] as I was[DELend]  	[NO 1823 VARIANT]
this [DELstart] I[DELend][ADDstart] sole[ADDend]  	 this, 
 rapidly that 	 rapidly, that, 
 the 	[NO 1823 VARIANT]
 years 	 years, 
[DELstart] one or two[DELend][DELstart] trifling[DELend][ADDstart] some[ADDend]  	 some 
[DELstart] machines[DELend][ADDstart] instruments[ADDend]  	 instruments, 
[ADDstart] ^[ADDend] point, 	 point, 
learned  all 	 become as well acquainted with 
professors [DELstart] that[DELend][DELstart] at In[DELend][DELstart] golstadt was[DELend][ADDstart] y[ADDend] there 	 theory and practice of natural philosophy as depended on the lessons of any of the professors at Ingolstadt, my residence there 
 improvement, 	 improvements, 
 to 	[NO 1823 VARIANT]
stay. One 	 stay.     One 
 those phænonoma 	 the phenomena 
[DELstart] most[DELend][ADDstart] st[ADDend]  	[NO 1823 VARIANT]
 frame; and indeed that of 	 frame, and, indeed, 
 Whence 	 Whence, 
 myself 	 myself, 
 this 	 the 
 proceed. 	 proceed? 
[DELstart] that[DELend][ADDstart] which[ADDend] has 	 which has 
mystery.  Yet 	 mystery; yet with 
 on 	 upon 
 acquainted with 	 acquainted, 
enquiries? . 	 inquiries. 
 mind 	 mind, 
 from 	[NO 1823 VARIANT]
[DELstart] treats[DELend] relate 	 relate 
 phisiology. 	 physiology. 
 irksome 	 irksome, 
life [DELstart] de[DELend]  	 life, 
[DELstart] recou[DELend]  	[NO 1823 VARIANT]
[DELstart] No is ano anatomy[DELend]  	[NO 1823 VARIANT]
 anatomy 	 anatomy: 
 sufficient. 	 sufficient; 
 & 	 and 
  	[NO 1823 VARIANT]
[DELstart] not[DELend]  	[NO 1823 VARIANT]
by [ADDstart] ^[ADDend][ADDstart] no[ADDend]  	 with no 
 having 	 to have 
ghost story tale 	 tale 
superstition  	 superstition, 
spirit [DELstart] Ligh[DELend]  	 spirit. 
 fancy 	 fancy; 
[ADDstart] ^[ADDend][ADDstart] as[ADDend]  	[NO 1823 VARIANT]
[DELstart] rotten b[DELend] bodies 	 bodies 
life and [DELstart] becoming[DELend][ADDstart] which[ADDend] from 	 life, which, from 
&[ADDstart] ^[ADDend][ADDstart] become[ADDend]  	 and strength, had become 
[DELstart] But[DELend][DELstart] I [DELend][DELstart] A loathsome[DELend][DELstart] But[DELend]  now 	 Now 
[DELstart] obliged[DELend][ADDstart] led[ADDend]  	 led 
[DELstart] cause[DELend][ADDstart] cause[ADDend] & 	 cause and 
 decay 	 decay, 
Charnel [DELstart] was obliged[DELend]  	 charnel-houses. 
[DELstart] horror of whic[DELend][DELstart] calculated to[DELend][ADDstart] object calculated to[ADDend] the 	 object the 
of the 	 of the 
[DELstart] are suscept[DELend][DELstart] able[DELend] – 	[NO 1823 VARIANT]
[DELstart] a[DELend]  	[NO 1823 VARIANT]
[DELstart] was[DELend][DELstart] became[DELend][ADDstart] became[ADDend][ADDstart] was[ADDend]  	 was 
 wasted. 	 wasted; 
 life – 	 life; 
worm[ADDstart] inherited[ADDend]  	 worm inherited 
anal[DELstart] yzed[DELend][DELstart] every[DELend][DELstart] minutiæ[DELend][DELstart]  of [DELend][DELstart] causation[DELend][ADDstart] yzing[ADDend] all 	 analysing all 
 causation 	 causation, 
& death 	 and death 
 untill 	 until 
me.  A 	 me—a 
 & wondrous 	 and wondrous, 
  	[NO 1823 VARIANT]
 simple 	 simple, 
 I 	 I 
 surprised 	 surprised, 
I [DELstart] was[DELend]  	[NO 1823 VARIANT]
 applied to 	 directed their inquiries towards 
 science 	 science, 
 this 	 so 
secret. Remember 	 a secret.     Remember, 
[ADDstart] ^[ADDend][ADDstart] not[ADDend]  	 not 
[DELstart] no[DELend]  	[NO 1823 VARIANT]
[DELstart] of[DELend]  	[NO 1823 VARIANT]
 madman – the 	 madman. The 
 heavens 	 heavens, 
wh[ADDstart] ich[ADDend] I 	 which I 
[DELstart] record[DELend][ADDstart] affirm,[ADDend]  	 affirm 
 it. But 	 it, yet 
[DELstart] toil[DELend][ADDstart] labour[ADDend]  	 labour 
 fatigue 	 fatigue, 
 & life. Nay 	 and life; nay, 
[DELstart] was[DELend][ADDstart] became[ADDend]  	 became 
[DELstart] My[DELend]  	 matter.     
surprise [DELstart] that[DELend][ADDstart] which[ADDend]  	 astonishment which 
[ADDstart] ^[ADDend][ADDstart] at first[ADDend] experienced 	 had at first experienced 
such  After 	[NO 1823 VARIANT]
 time 	 time 
labour[DELstart] come[DELend] to 	 labour, to 
 onece 	 once 
[DELstart] obj ect[DELend][DELstart] object[DELend][ADDstart] summit[ADDend]  	 summit 
 desires 	 desires, 
circumstance  that could have occurred. 	 consummation of my toils. 
overwhelm ing 	 overwhelming, 
[DELstart] the[DELend]  	[NO 1823 VARIANT]
  	[NO 1823 VARIANT]
[DELstart] that[DELend] by 	 by 
been progressively 	 been progressively 
[DELstart] saw[DELend][ADDstart] ^[ADDend][ADDstart] and[ADDend][ADDstart] ^[ADDend][ADDstart] beheld[ADDend]  	 obliterated, and I beheld 
[DELstart] m[DELend]  	[NO 1823 VARIANT]
 world 	 world, 
[DELstart] hands.[DELend][ADDstart] ^[ADDend][ADDstart] grasp;[ADDend]  	 grasp. 
[DELstart] sceen[DELend]  scene 	 scene, 
on[ADDstart] c[ADDend][ADDstart] .[ADDend] on 	 once: 
contrary[DELstart] big[DELend][ADDstart] T[ADDend]  	[NO 1823 VARIANT]
[ADDstart] ^[ADDend] of 	 of 
[ADDstart] ^[ADDend][ADDstart] to[ADDend]  	 to 
endeavours. [ADDstart] ^[ADDend] so 	 endeavours so 
[DELstart] ,[DELend]  	 Arabian 
 life 	 life, 
 glimmering 	 glimmering, 
ineffectual light. I 	 ineffectual, light.     I 
 eargerness 	 eagerness, 
[DELstart] scret[DELend]  	[NO 1823 VARIANT]
acquainted[DELstart] but you are[DELend][ADDstart] ;[ADDend] that 	 acquainted; that 
be.[DELstart] mistaken[DELend][DELstart] .[DELend]  Listen 	 be: listen 
 to 	 until 
 story 	 story, 
[DELstart] For why shoul[DELend][DELstart] d[DELend]  	 subject. 
[DELstart] as[DELend]  	[NO 1823 VARIANT]
[DELstart] destruct[DELend]  	[NO 1823 VARIANT]
&  	 and 
 precepts 	 precepts, 
exam  ple, 	 example, 
 knowledge 	 knowledge, 
[DELstart] whonto[DELend] aspires 	 who aspires 
[DELstart] allows.[DELend]  	[NO 1823 VARIANT]
  	[NO 1823 VARIANT]
 When 	 When 
[DELstart] this[DELend][ADDstart] so[ADDend][ADDstart] a[ADDend]  	 so astonishing a 
[DELstart] use[DELend] manner 	 manner 
[DELstart] make of[DELend][ADDstart] employ[ADDend]  	 employ 
[DELstart] conceived myself capable of[DELend]  	[NO 1823 VARIANT]
 animation 	 animation, 
[DELstart] my[DELend]  	[NO 1823 VARIANT]
[DELstart] create[DELend][ADDstart] ^[ADDend][ADDstart] prepare[ADDend]  	 prepare 
[DELstart] creature[DELend][ADDstart] frame[ADDend][ADDstart] ^[ADDend] for 	 frame for 
[DELstart] receiving i[DELend][ADDstart] reception of[ADDend][ADDstart] it[ADDend]  	 reception of it, 
fibres muscles & veins [DELstart] must be[DELend][ADDstart] still remained[ADDend] a 	 fibres, muscles, and veins, still remained a 
[ADDstart] 2[ADDend][ADDstart] 1[ADDend] . 	 difficulty and labour. 
[DELstart] creature[DELend][DELstart] unto[DELend][ADDstart] being[ADDend]  myself 	 being like myself, 
[DELstart] b[DELend]  	[NO 1823 VARIANT]
[DELstart] capacity[DELend] ability 	 ability 
[DELstart] create[DELend][DELstart] creature[DELend][DELstart] being[DELend][ADDstart] give life[ADDend][ADDstart] to[ADDend][ADDstart] ^[ADDend]  	 give life to 
[DELstart] but[DELend][DELstart] But[DELend][DELstart] when I[DELend][DELstart] when[DELend][DELstart] I[DELend][DELstart] looked around for[DELend][DELstart] considered[DELend][DELstart] my[DELend][DELstart] materials[DELend][DELstart] they[DELend][ADDstart] Yet[ADDend][ADDstart] But[ADDend][ADDstart] considered[ADDend] The 	 The 
 ardous 	 arduous 
I did not despai but 	[NO 1823 VARIANT]
ul[ADDstart] -timately succeed.[ADDend] but 	 ultimately succeed. 
looked around on I 	[NO 1823 VARIANT]
 reverses, 	 reverses; 
[DELstart] might[DELend][DELstart] ever[DELend] incessantly, & 	 might be incessantly baffled, and 
 but imperfect, 	 imperfect: 
con the 	 considered the 
[DELstart] that[DELend][ADDstart] which[ADDend]  	 which 
[DELstart] and m my attempt was so much grande[DELend][DELstart] r[DELend][ADDstart] mechanics[ADDend] I 	 mechanics, I 
hope[DELstart] and[DELend] And altho although I could not 	[NO 1823 VARIANT]
  	[NO 1823 VARIANT]
[DELstart] s[DELend][DELstart] at le[DELend][DELstart] be in every[DELend][ADDstart] at le[ADDend] at 	 at 
[ADDstart] ^[ADDend][ADDstart] lay[ADDend]  	 lay 
success[DELstart] way perfect yet[DELend][DELstart] but[DELend][ADDstart] but[ADDend] Nor, 	 success. Nor 
 I did not think that 	[NO 1823 VARIANT]
[DELstart] grandeur[DELend][ADDstart] complexity[ADDend]  	 complexity 
[DELstart] w[DELend] as 	 as 
[DELstart] And[DELend][ADDstart] I[ADDend] t 	 It 
[ADDstart] ^[ADDend][ADDstart] that[ADDend] I 	 that I 
[DELstart] smallness[DELend][ADDstart] minuteness[ADDend]  	 minuteness 
[DELstart] were[DELend][ADDstart] formed[ADDend]  	 formed 
 speed 	 speed, 
[DELstart] him[DELend][DELstart] of[DELend][ADDstart] the being[ADDend]  	 the being 
 say 	 say, 
[ADDstart] ^[ADDend][ADDstart] seven[ADDend]  or 	[NO 1823 VARIANT]
[DELstart] And[DELend] after 	 After 
 determination 	 determination, 
[DELstart] collecting[DELend] successfully 	 successfully 
&  	 and arranging 
began. No 	 began.     No 
[DELstart] my[DELend]  	[NO 1823 VARIANT]
 pressed upon 	 bore 
[ADDstart] ^[ADDend][ADDstart] to[ADDend] enthusiasm life 	 onwards, like a hurricane, in the first enthusiasm of success. Life 
[ADDstart] thro,[ADDend]  	 through, 
[DELstart] creation[DELend][ADDstart] existence[ADDend]  	 species 
[DELstart] maker[DELend]  	 creator 
[DELstart] creatures[DELend][DELstart] beings[DELend][ADDstart] beings[ADDend][ADDstart] natures[ADDend]  	 natures 
[DELstart] existence[DELend][ADDstart] being[ADDend]  	 being 
[DELstart] in manner[DELend][DELstart] in a manner[DELend]  no 	 No 
 so 	 so 
[DELstart] And[DELend] sueing 	 theirs. Pursuing 
reflections [DELstart] if[DELend]  	 reflections, 
 thought 	 thought, 
[DELstart] life[DELend][ADDstart] animation[ADDend]  upon 	 animation 
 matter 	 matter, 
  	[NO 1823 VARIANT]
corruption. These 	 corruption.     These 
 spirits 	 spirits, 
[DELstart] labours[DELend][ADDstart] ^[ADDend][ADDstart] undertaking[ADDend] with 	 undertaking with 
[DELstart] eagerness[DELend][ADDstart] ^[ADDend][ADDstart] ardour[ADDend] . 	 ardour. 
[DELstart] was[DELend] had 	 had 
[DELstart] pe[DELend]  	[NO 1823 VARIANT]
[ADDstart] became[ADDend] emaciated by 	 had become emaciated with 
 sometimes 	 Sometimes, 
 certainty 	 certainty, 
 faild 	 failed; 
 still 	[NO 1823 VARIANT]
[DELstart] nexhour[DELend]  	[NO 1823 VARIANT]
[DELstart] knew[DELend][ADDstart] possessed[ADDend]  	 possessed 
 clung 	 had dedicated myself; 
labours  while 	 labours, while, 
 & 	 and 
 eagerness 	 eagerness, 
[DELstart] . But[DELend] who 	 hiding-places. Who 
[DELstart] know[DELend][ADDstart] ^[ADDend] concieve 	 conceive 
[DELstart] operatio[DELend][ADDstart] toil[ADDend] as 	 toil, as 
[DELstart] animate to ani[DELend]  	[NO 1823 VARIANT]
[DELstart] Now[DELend]  my 	 My 
 tremble 	 tremble, 
 rememberance, 	 remembrance; 
 resistless 	 resistless, 
[DELstart] all[DELend]  	[NO 1823 VARIANT]
frantic[ADDstart] ^[ADDend][ADDstart] impulse[ADDend]  	 frantic impulse, 
 trance 	 trance, 
renew ed 	 renewed 
[DELstart] when[DELend] so 	 so 
as  	 as, 
sti [DELstart] had[DELend][ADDstart] ing[ADDend][ADDstart] had[ADDend]  	 stimulus ceasing 
 and 	[NO 1823 VARIANT]
 Charnel houses 	 charnel-houses; 
fingers  meddled with 	 fingers, 
 chamber–or 	 chamber, or 
 cell 	 cell, 
 house 	 house, 
 seperated 	 separated 
 appartments 	 apartments 
 staircase 	 staircase, 
[DELstart] h[DELend]  	[NO 1823 VARIANT]
 creation; 	 creation: 
 minutiæ 	 details 
[DELstart] the[DELend]  	[NO 1823 VARIANT]
 slaughter house 	 slaughter-house 
 materials, 	 materials; 
[DELstart] but[DELend][DELstart] wal[DELend][DELstart] was[DELend][ADDstart] whilst[ADDend]  	 occupation, whilst, 
 encreased, 	 increased, 
[DELstart] drew[DELend]  	[NO 1823 VARIANT]
[ADDstart] ^[ADDend][ADDstart] to[ADDend]  	 to 
conclusion.[DELstart] sums[DELend]  Summer 	 conclusion.     The summer 
[DELstart] employed[DELend][ADDstart] engaged,[ADDend] heart 	 engaged, heart 
 season: 	 season; 
 yeild 	 yield 
 vintage. But 	 vintage: but 
[DELstart] hut[DELend][ADDstart] insensible[ADDend]  	 insensible 
 nature & 	 nature. And 
[DELstart] caused[DELend][ADDstart] ^[ADDend][ADDstart] made[ADDend]  	 made 
[DELstart] to[DELend] neglect 	 neglect 
 absent 	 absent, 
  	[NO 1823 VARIANT]
 that 	[NO 1823 VARIANT]
 them 	 them; 
 father. "I 	 father: “I 
 "you 	 you 
 yourself 	 yourself, 
[DELstart] thing[DELend]  	 will 
affection  "and 	 affection, and 
 "you. And you 	 you. You 
 "if 	 if 
[DELstart] you[DELend]  	[NO 1823 VARIANT]
 "in 	 in 
 corespondence, 	 correspondence 
 "that 	 that 
[DELstart] studies[DELend][ADDstart] duties[ADDend]  	 duties 
 neglected" 	 neglected.”     
[DELstart] rembered[DELend]  	[NO 1823 VARIANT]
his [DELstart] opinion[DELend]  	[NO 1823 VARIANT]
[ADDstart] his feelings[ADDend]  	 my father’s feelings; 
 occupation 	 employment, 
 itself 	 itself, 
a[DELstart] strong[DELend][ADDstart] n[ADDend]  	 an irresistible 
[DELstart] imagni[DELend]  	[NO 1823 VARIANT]
 wished 	 wished, 
 were 	 were, 
[DELstart] procr[DELend][ADDstart] ^[ADDend] all 	 procrastinate all 
 affection, untill 	 affection until 
object [DELstart] of my affection[DELend][DELstart] was[DELend] which 	 object, which 
 nature 	 nature, 
be I 	 be completed.     I 
[DELstart] in[DELend]  	[NO 1823 VARIANT]
 vice 	 vice, 
[DELstart] in the right[DELend][DELstart] in co conceive[DELend][ADDstart] ^[ADDend][ADDstart] he was[ADDend][ADDstart] X[ADDend][ADDstart] in co conceive[ADDend]  	[NO 1823 VARIANT]
in the  right 	 justified 
blame. . 	 blame. 
[DELstart] cl[DELend]  	[NO 1823 VARIANT]
 mind 	 mind, 
  	[NO 1823 VARIANT]
[ADDstart] ^[ADDend][ADDstart] a[ADDend]  	 a 
 any 	 an 
[DELstart] d[DELend]  	[NO 1823 VARIANT]
 affections 	 affections, 
 mix 	 mix, 
 unlawful 	 unlawful, 
[DELstart] it[DELend]  	[NO 1823 VARIANT]
say [DELstart] on that[DELend]  	 say, 
[DELstart] to[DELend]  	[NO 1823 VARIANT]
[DELstart] rul[DELend]  	[NO 1823 VARIANT]
[DELstart] was[DELend][ADDstart] were[ADDend] ways 	 were always 
 his 	 the 
 and 	 of 
 affections 	 affections, 
 never 	 not 
 enslaved, 	 enslaved; 
 country, 	 country; 
gradua[ADDstart] l[ADDend] ly, 	 gradually; 
 Empires 	 empires 
 & 	 and 
destroyed. But 	 destroyed.     But 
 interresting 	 interesting 
 My 	 proceed.     My 
[DELstart] an[DELend]  	[NO 1823 VARIANT]
 enquiring 	 inquiring into my occupations 
before what my [DELstart] co[DELend][DELstart] wer[DELend]  were. Winter spring 	 before. Winter, spring, 
[ADDstart] l[ADDend] abours 	 labours; 
 leaves – sights 	 leaves—sights 
 had alway yeilded 	 always yielded 
delight[DELstart] much[DELend][ADDstart] deeply[ADDend]  	 delight—so deeply 
[DELstart] taken up with[DELend] engrossed 	 engrossed 
  	[NO 1823 VARIANT]
 were 	 had 
 close. And 	 close; and 
 shewed 	 showed 
[DELstart] am[DELend]  anxiety 	 anxiety, 
 mines 	 mines, 
 unwholsome trade 	 unwholesome trade, 
 in 	 by 
[DELstart] nigh[DELend]  	[NO 1823 VARIANT]
fever oppressed  me 	 fever, 
[DELstart] nevous[DELend][ADDstart] ^[ADDend][ADDstart] nervous[ADDend]  	 nervous 
[DELstart] degre[DELend] most 	 most 
a [DELstart] fever[DELend]  	[NO 1823 VARIANT]
health &[DELstart] my nerves[DELend][DELstart] were fi[DELend]  	 health, and 
firm[ADDstart] ness[ADDend][ADDstart] ^[ADDend] of 	 firmness of 
[DELstart] driv[DELend]  	[NO 1823 VARIANT]
[DELstart] these[DELend][DELstart] p[DELend][ADDstart] such[ADDend] toms 	 such symptoms; 
[ADDstart] had t[ADDend]  	[NO 1823 VARIANT]
 It 	 I T  
 November 	 November, 
frame on whic  	 accomplishment of 
man comple[DELstart] And[DELend][ADDstart] te[ADDend][ADDstart] ,[ADDend] with 	 toils. With 
amount  ed 	 amounted 
 agony 	 agony, 
me [DELstart] and endeavour to[DELend] that 	 me, that 
might[ADDstart] i[ADDend] nfuse 	 might infuse 
thin[ADDstart] g[ADDend] that 	 thing that 
 morning, 	 morning; 
 window 	[NO 1823 VARIANT]
& my 	 and my 
 when 	 when, 
half extinguish ed light 	 half-extinguished light, 
 open.—It 	 open; it 
limbs.[DELstart] But how[DELend]  	 limbs.     
 emotion 	 emotions 
 catastrophe; 	 catastrophe, 
 form. 	 form? 
 proportion 	 proportion, 
[DELstart] h[DELend]  	[NO 1823 VARIANT]
[DELstart] handsome[DELend][DELstart] handsome[DELend][DELstart] Handsome[DELend][ADDstart] beautiful.[ADDend][ADDstart] Beautiful[ADDend] ; Great 	 beautiful. Beautiful!—Great 
[DELstart] dun[DELend]  	 yellow 
 of 	 was of 
black &  flowing 	 black, 
white  ness 	 whiteness; 
luxurianc[ADDstart] i[ADDend] es 	 luxuriances 
[DELstart] fomed[DELend] formed 	 formed 
 watry eyes 	 watery eyes, 
  	[NO 1823 VARIANT]
 complexion 	 complexion, 
 strait 	 straight 
lips. The 	 lips.     The 
 years 	 years, 
